STATcube

"Wanderungen innerhalb Österreichs ab 2002 (Q)"
"Jahr und Alter in 15-Jahresgruppen <6> nach Wanderungen innerhalb Österreichs und Binnenwanderung nach Pol. Bezirken (Ebene +1)"
"Zählt: Wanderungen innerhalb Österreichs"

;"Werte";"Wanderungen innerhalb Österreichs";;;;;;
;"Binnenwanderung nach Pol. Bezirken (Ebene +1)";"Wanderungen über Gemeindegrenzen hinweg";"Wanderungen über Gemeindegrenzen hinweg - Anmerkungen";"Wanderungen innerhalb derselben Gemeinde";"Wanderungen innerhalb derselben Gemeinde - Anmerkungen";"Wanderungen zwischen Bundesländern";"Wanderungen zwischen Bundesländern - Anmerkungen";
"Jahr";"Alter in 15-Jahresgruppen <6>";
"2024";"bis 14 Jahre";50514;;67048;;17231;;
;"15 bis 29 Jahre";128855;;147939;;48628;;
;"30 bis 44 Jahre";96001;;123403;;34458;;
;"45 bis 59 Jahre";43520;;50183;;14370;;
;"60 bis 74 Jahre";20723;;22585;;6952;;
;"75 Jahre und älter";16832;;17106;;2563;;
"2002";"bis 14 Jahre";47194;;75057;;11618;;
;"15 bis 29 Jahre";107049;;127729;;33611;;
;"30 bis 44 Jahre";75380;;110744;;24044;;
;"45 bis 59 Jahre";22505;;38280;;7538;;
;"60 bis 74 Jahre";8154;;15060;;2917;;
;"75 Jahre und älter";9002;;12999;;1815;;
"2003";"bis 14 Jahre";47179;;68359;;11608;;
;"15 bis 29 Jahre";109678;;125340;;34526;;
;"30 bis 44 Jahre";75183;;102971;;23219;;
;"45 bis 59 Jahre";22984;;34825;;7409;;
;"60 bis 74 Jahre";7927;;12195;;2817;;
;"75 Jahre und älter";8724;;11713;;1649;;
"2004";"bis 14 Jahre";49531;;68562;;12478;;
;"15 bis 29 Jahre";114595;;130037;;36543;;
;"30 bis 44 Jahre";79046;;105517;;24708;;
;"45 bis 59 Jahre";24741;;36204;;7818;;
;"60 bis 74 Jahre";8798;;12291;;3079;;
;"75 Jahre und älter";9247;;11842;;1725;;
